1,Diaper,Grapes,Milk,Juice,Wine,Ice cream,Cereal,Eggs
2,Ice cream,Milk,Grapes,Cereal,Chips,Napkins,Diaper,Eggs,Juice,Wine
3,Ice cream,Eggs,Cereal,Milk,Chips,Wine,Napkins,Juice,Diaper,Grapes
4,Wine,Eggs,Chips,Napkins,Cereal,Ice cream,Grapes,Milk,Diaper,Juice
5,Diaper,Juice,Eggs,Ice cream,Grapes,Chips,Milk,Wine
6,Napkins,Wine,Eggs,Cereal,Chips,Ice cream,Diaper,Juice,Grapes
7,Ice cream,Diaper,Grapes,Chips,Wine,Napkins,Juice,Eggs,Cereal
8,Wine,Ice cream,Cereal,Napkins,Milk,Eggs,Diaper,Juice,Chips,Grapes
9,Grapes,Milk,Napkins,Chips,Wine,Cereal,Ice cream
10,Napkins,Eggs,Chips,Cereal,Milk,Wine,Ice cream,Grapes,Diaper,Juice
11,Cereal,Ice cream,Chips,Grapes,Eggs,Diaper,Wine,Napkins,Juice,Milk
12,Grapes,Milk,Cereal,Juice,Diaper,Chips,Eggs,Ice cream,Napkins
13,Chips,Cereal,Wine,Napkins,Juice,Ice cream,Eggs,Diaper
14,Chips,Ice cream,Eggs,Cereal,Grapes,Wine,Diaper,Milk,Napkins,Juice
15,Eggs,Napkins,Diaper,Chips,Wine,Cereal
16,Napkins,Milk,Juice,Eggs,Diaper,Ice cream,Grapes,Wine,Chips
17,Eggs,Wine,Ice cream,Napkins,Milk,Diaper,Cereal,Chips
18,Cereal,Eggs,Wine,Diaper,Grapes,Napkins,Milk,Juice,Ice cream
19,Napkins,Juice,Ice cream,Eggs,Milk,Diaper
20,Napkins,Eggs,Cereal,Milk,Juice,Ice cream,Chips
